Juris Saveiko,0,12
Nicole Krüsi,1457.290143875,116
Vojta Vasek,1212.2093004317,26
Verena Rohrer,1735.5155728982,212
Georg Berger,0,6
Marcel Hartmann,1497.324338565,93
Martin Hauser,0,19
Pascal Dousse,1436.2401351371,38
Matthias Bade,0,14
Alexander Gaal,0,17
Goran Palfner,1532.0943531082,42
Klaus Gottesleben,1551.3765293495,20
Ronald Holzer,1212.0182439242,34
Filip Latka Jr,1209.3668721319,31
Roland Köck,0,7
Silas Reimann,0,17
Jakub Zavrel,0,16
Florian Kunz,1694.103918591,132
Daniel Mairhofer,1456.5151438144,23
Serge Lutz,1644.7824270125,119
Christian Hodler,1579.65800922,118
Mosah Ahmadi,0,1
Pascal Salzgeber,1631.2009177332,81
Manuel Schubert,1354.9748184343,60
Marc Gobeli,1576.4472555863,72
Sascha Guscheh,1751.5811497411,89
Daniela Deltl,0,14
Pascal Nater,1518.6496802679,79
Matej Volek,0,15
Karl-heinz Bergmann,0,16
Daniel Burmetler,1724.2859298201,202
Jagna Guzińska,1252.503348193,25
Ecaterina Sarbulescu,1464.8206002849,72
Irma Del Grosso,1388.5714166803,40
Pawel Soltysinski,0,19
Gerald Froschauer,0,11
Branislav Kovacevic,1895.9625291058,71
Giulio Giorgino,1459.564432876,31
Zoltán Szücs,1520.2542125151,30
Tommy König,1298.3140889174,22
Dimitar Filipov,0,0
Josef Cornelius,1435.6628521642,44
Ulrike Ferrari,1351.576815114,21
Christoph Zimmermann,1721.4668633861,33
Alexander Stingeder,0,11
Michael Drexler,1244.846582843,43
Nikolay Zakharov,1437.9694704772,46
Amir Jalali,1332.4042396045,35
Sebastian Bertl,0,9
Christin Elsenhuber,0,16
Andrii Makarevych,1352.7464080984,37
Maryam Aly,1370.816226615,69
Kylian Collignon,0,2
Elli Mcdonald,1508.6364375911,288
Matthias Riml,1568.6029042404,82
Dominik Falkensteiner,1496.7386443179,284
Gergely Talai,1380.1072128308,77
Birgit Moser,1289.3299971238,112
Tamara Trinkl,0,8
Ugur Imert,1398.6864506569,21
Michael Hackspiel,1355.698093538,92
Markus Gälzer,0,10
Stefan Burmetler,1519.9530431796,215
Viktoria Hanzlik,0,2
Andrey Burakhovich,1356.9032043829,25
Thomas Kroll,0,0
Bert Schükerk,1322.7062653483,67
Évi Nagy,1381.0935611787,45
Zoltán Kertécz,0,7
Tamara Kotnik,0,6
Aleksej Popovic,0,5
Susanne Suvajac,1457.8265568178,24
Reinhard Wiege,1484.4485473252,144
Ralf Brunschwiler,1277.0007037856,26
Andrea Schwarz,1325.5883387915,61
Christopher Lyall,0,17
Steffen Zipfel,0,15
Thomas Vuckovic,0,5
Andreas Bertleff,1319.132813443,24
Dominik Kovacs,0,19
Susanne Herschung,1274.8487042416,20
Mario Hautzinger,0,6
Nina Schützenhofer,0,7
Gottfried Hahn,1229.5858739331,208
Julian Gindl,0,1
